Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,Command
10时27分47秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,308772,7.80,0.00,0.00,0.00,0,java

10时27分48秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,308772,7.80,0.00,0.00,0.00,0,java

10时27分49秒,1000,6563,0.00,0.99,0.00,0.00,0.51,1,0.00,0.00,3577972,257700,6.51,0.00,0.00,0.00,0,java

10时27分50秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,250788,6.33,0.00,0.00,0.00,0,java

10时27分51秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3577972,250788,6.33,0.00,8.00,0.00,0,java

10时27分52秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,238628,6.02,0.00,0.00,0.00,0,java

10时27分53秒,1000,6563,24.00,13.00,0.00,0.00,18.69,1,3839.00,3309.00,3578996,256292,6.47,20120.00,24.00,0.00,0,java

10时27分54秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,27.00,10.00,3580020,253604,6.40,56.00,0.00,0.00,0,java

10时27分55秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3580020,253604,6.40,0.00,0.00,0.00,0,java

10时27分56秒,1000,6563,1.00,0.00,0.00,0.00,0.51,1,6.00,2.00,3580020,240036,6.06,56.00,12.00,0.00,0,java

10时27分57秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3580020,240036,6.06,0.00,3.96,0.00,0,java

10时27分58秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3580020,240036,6.06,0.00,0.00,0.00,0,java

10时27分59秒,1000,6563,1.00,2.00,0.00,0.00,1.53,1,108.00,65.00,3585144,240548,6.07,444.00,12.00,0.00,0,java

10时28分00秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,240548,6.07,0.00,0.00,0.00,0,java

10时28分01秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,240548,6.07,0.00,4.00,0.00,0,java

10时28分02秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,240548,6.07,0.00,0.00,0.00,0,java

10时28分03秒,1000,6563,1.00,0.00,0.00,0.00,0.52,1,0.00,0.00,3585144,240548,6.07,0.00,0.00,0.00,0,java

10时28分04秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,125988,3.18,0.00,0.00,0.00,0,java

10时28分05秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分06秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分07秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分08秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,5.00,0.00,3585144,120612,3.04,0.00,28.00,0.00,0,java

10时28分09秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分10秒,1000,6563,0.00,1.00,0.00,0.00,0.51,1,6.00,0.00,3585144,120612,3.04,0.00,36.00,0.00,0,java

10时28分11秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,4.00,3.00,3585144,120612,3.04,40.00,16.00,0.00,0,java

10时28分12秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分13秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分14秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,120612,3.04,0.00,0.00,0.00,0,java

10时28分15秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3585144,120612,3.04,0.00,12.00,0.00,0,java

10时28分16秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分17秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3585144,99236,2.51,0.00,8.00,0.00,0,java

10时28分18秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,4.00,0.00,3585144,99236,2.51,0.00,20.00,0.00,0,java

10时28分19秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,4.00,0.00,3585144,99236,2.51,0.00,20.00,0.00,0,java

10时28分20秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,4.00,0.00,0,java

10时28分21秒,1000,6563,1.00,0.00,0.00,0.00,0.50,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分22秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分23秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分24秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分25秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,3.00,2.00,3585144,98852,2.50,12.00,20.00,0.00,0,java

10时28分26秒,1000,6563,0.00,1.00,0.00,0.00,0.50,1,72.00,46.00,3585144,99236,2.51,528.00,0.00,0.00,0,java

10时28分27秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分28秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分29秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分30秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,3585144,99236,2.51,0.00,4.00,0.00,0,java

10时28分31秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分32秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99236,2.51,0.00,0.00,0.00,0,java

10时28分33秒,1000,6563,1.00,0.00,0.00,0.00,0.50,1,0.00,0.00,3585144,99236,2.51,0.00,4.00,0.00,0,java

10时28分34秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,99108,2.50,0.00,0.00,0.00,0,java

10时28分35秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分36秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分37秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分38秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分39秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分40秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分41秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,1.00,1.00,3585144,98852,2.50,16.00,0.00,0.00,0,java

10时28分42秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,3.00,0.00,3585144,98852,2.50,0.00,20.00,0.00,0,java

10时28分43秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分44秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分45秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分46秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,98852,2.50,0.00,0.00,0.00,0,java

10时28分47秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,3.00,3585144,71332,1.80,24.00,0.00,0.00,0,java

10时28分48秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71332,1.80,0.00,0.00,0.00,0,java

10时28分49秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71332,1.80,0.00,0.00,0.00,0,java

10时28分50秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71332,1.80,0.00,0.00,0.00,0,java

10时28分51秒,1000,6563,0.00,0.99,0.00,0.00,0.50,1,9.90,47.52,3585144,71588,1.81,190.10,3.96,0.00,0,java

10时28分52秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71588,1.81,0.00,0.00,0.00,0,java

10时28分53秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71588,1.81,0.00,0.00,0.00,0,java

10时28分54秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71588,1.81,0.00,0.00,0.00,0,java

10时28分55秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,71588,1.81,0.00,0.00,0.00,0,java

10时28分56秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,2.00,3585144,71588,1.81,8.00,0.00,0.00,0,java

10时28分57秒,1000,6563,1.00,0.00,0.00,0.00,0.52,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时28分58秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时28分59秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时29分00秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,4.00,0.00,0,java

10时29分01秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时29分02秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时29分03秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3585144,58660,1.48,0.00,8.00,0.00,0,java

10时29分04秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,0.00,0.00,0,java

10时29分05秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,58660,1.48,0.00,4.00,0.00,0,java

10时29分06秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分07秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分08秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分09秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分10秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分11秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,1.00,1.00,3585144,38180,0.96,16.00,4.00,0.00,0,java

10时29分12秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分13秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分14秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分15秒,1000,6563,1.00,0.00,0.00,0.00,0.51,1,0.00,0.00,3585144,38180,0.96,0.00,0.00,0.00,0,java

10时29分16秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分17秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分18秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分19秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3585144,27556,0.70,0.00,12.00,0.00,0,java

10时29分20秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,4.00,0.00,0,java

10时29分21秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分22秒,1000,6563,0.00,1.00,0.00,0.00,0.51,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分23秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分24秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分25秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27556,0.70,0.00,0.00,0.00,0,java

10时29分26秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,9.00,36.00,3585144,27684,0.70,168.00,4.00,0.00,0,java

10时29分27秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分28秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分29秒,1000,6563,1.00,0.00,0.00,0.00,0.51,1,0.00,0.00,3585144,27684,0.70,0.00,4.00,0.00,0,java

10时29分30秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分31秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分32秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分33秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分34秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

10时29分35秒,1000,6563,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,27684,0.70,0.00,0.00,0.00,0,java

