Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,Command
19时58分52秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246096,6.21,java

19时58分53秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,2.00,1.00,2789000,246096,6.21,java

19时58分54秒,1000,2918,0.00,1.00,0.00,0.00,0.50,1,0.00,0.00,2789000,246096,6.21,java

19时58分55秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246096,6.21,java

19时58分56秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,5.00,1.00,2789000,246224,6.22,java

19时58分57秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246224,6.22,java

19时58分58秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246224,6.22,java

19时58分59秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,3.00,0.00,2789000,246352,6.22,java

19时59分00秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,2789000,246352,6.22,java

19时59分01秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,2789000,246352,6.22,java

19时59分02秒,1000,2918,1.00,0.00,0.00,0.00,0.50,1,2.00,0.00,2789000,246352,6.22,java

19时59分03秒,1000,2918,8.00,1.00,0.00,0.00,4.55,1,16.00,5.00,2789000,246352,6.22,java

19时59分04秒,1000,2918,1.00,1.00,0.00,0.00,1.01,1,23.00,2.00,2789000,246480,6.22,java

19时59分05秒,1000,2918,1.00,0.00,0.00,0.00,0.51,1,17.00,4.00,2789000,246608,6.23,java

19时59分06秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246608,6.23,java

19时59分07秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,2789000,246608,6.23,java

19时59分08秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,1.00,2789000,246608,6.23,java

19时59分09秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,2789000,246608,6.23,java

19时59分10秒,1000,2918,1.00,0.00,0.00,0.00,0.51,1,1.00,0.00,2789000,246608,6.23,java

19时59分11秒,1000,2918,0.00,1.00,0.00,0.00,0.52,1,3.00,1.00,2789000,246608,6.23,java

19时59分12秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,2789000,246608,6.23,java

19时59分13秒,1000,2918,7.00,3.00,0.00,0.00,5.05,1,83.00,14.00,2789000,246992,6.24,java

19时59分14秒,1000,2918,0.00,3.00,0.00,0.00,1.51,1,47.00,8.00,2789000,247120,6.24,java

19时59分15秒,1000,2918,9.00,4.00,0.00,0.00,6.70,1,77.00,28.00,2789000,247504,6.25,java

19时59分16秒,1000,2918,11.00,4.00,0.00,0.00,7.69,1,104.00,24.00,2789000,248016,6.26,java

19时59分17秒,1000,2918,8.00,2.00,0.00,0.00,5.08,1,97.00,21.00,2789000,248400,6.27,java

19时59分18秒,1000,2918,2.00,3.00,0.00,0.00,2.54,1,78.00,13.00,2789000,248656,6.28,java

19时59分19秒,1000,2918,44.00,7.00,0.00,0.00,26.02,1,1954.00,448.00,2789000,258128,6.52,java

19时59分20秒,1000,2918,9.00,2.00,0.00,0.00,5.53,1,402.00,80.00,2789000,260048,6.57,java

19时59分21秒,1000,2918,2.00,2.00,0.00,0.00,2.01,1,82.00,28.00,2789000,260560,6.58,java

19时59分22秒,1000,2918,1.00,1.00,0.00,0.00,1.01,1,65.00,13.00,2789000,260816,6.58,java

19时59分23秒,1000,2918,5.00,4.00,0.00,0.00,4.52,1,139.00,30.00,2789000,261456,6.60,java

19时59分24秒,1000,2918,1.00,2.00,0.00,0.00,1.49,1,57.00,11.00,2789000,261712,6.61,java

19时59分25秒,1000,2918,3.00,4.00,0.00,0.00,3.54,1,114.00,25.00,2789000,262096,6.62,java

19时59分26秒,1000,2918,8.00,4.00,0.00,0.00,6.09,1,97.00,46.00,2789000,262736,6.63,java

19时59分27秒,1000,2918,3.00,3.00,0.00,0.00,3.02,1,113.00,22.00,2789000,263248,6.65,java

19时59分28秒,1000,2918,2.00,2.00,0.00,0.00,2.02,1,104.00,22.00,2789000,263760,6.66,java

19时59分29秒,1000,2918,2.00,4.00,0.00,0.00,3.03,1,134.00,24.00,2789000,264272,6.67,java

19时59分30秒,1000,2918,3.00,2.00,0.00,0.00,2.51,1,151.00,33.00,2789000,265040,6.69,java

19时59分31秒,1000,2918,1.00,4.00,0.00,0.00,2.51,1,79.00,16.00,2789000,265296,6.70,java

19时59分32秒,1000,2918,1.00,2.00,0.00,0.00,1.60,1,114.00,20.00,2789000,265808,6.71,java

19时59分33秒,1000,2918,0.00,1.00,0.00,0.00,0.50,1,34.00,5.00,2789000,266064,6.72,java

19时59分34秒,1000,2918,1.00,0.00,0.00,0.00,0.50,1,14.00,1.00,2789000,266064,6.72,java

19时59分35秒,1000,2918,0.00,1.00,0.00,0.00,0.50,1,13.00,2.00,2789000,266192,6.72,java

19时59分36秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,11.00,1.00,2789000,266192,6.72,java

19时59分37秒,1000,2918,1.00,0.00,0.00,0.00,0.50,1,11.00,2.00,2789000,266192,6.72,java

19时59分38秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,12.00,2.00,2789000,266192,6.72,java

19时59分39秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,12.00,2.00,2789000,266320,6.72,java

19时59分40秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,10.00,2.00,2789000,266320,6.72,java

19时59分41秒,1000,2918,0.00,1.00,0.00,0.00,0.50,1,10.00,4.00,2789000,266320,6.72,java

19时59分42秒,1000,2918,1.00,0.00,0.00,0.00,0.51,1,11.00,1.00,2789000,266448,6.73,java

19时59分43秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,12.00,2.00,2789000,266448,6.73,java

19时59分44秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,13.00,1.00,2789000,266576,6.73,java

19时59分45秒,1000,2918,0.00,1.00,0.00,0.00,0.51,1,11.00,2.00,2789000,266576,6.73,java

19时59分46秒,1000,2918,0.00,0.00,0.00,0.00,0.00,1,11.00,2.00,2789000,266576,6.73,java

