Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,Command
19时59分46秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,206840,5.22,java

19时59分47秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,10.00,2.00,2774584,206840,5.22,java

19时59分48秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,13.00,1.00,2774584,206968,5.23,java

19时59分49秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,206968,5.23,java

19时59分50秒,1000,3590,1.00,1.00,0.00,0.00,1.01,0,11.00,2.00,2774584,207096,5.23,java

19时59分51秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,13.00,1.00,2774584,207096,5.23,java

19时59分52秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,207096,5.23,java

19时59分53秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,207224,5.23,java

19时59分54秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,13.00,5.00,2774584,207224,5.23,java

19时59分55秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,207352,5.23,java

19时59分56秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,207352,5.23,java

19时59分57秒,1000,3590,0.00,1.00,0.00,0.00,0.50,0,16.00,4.00,2774584,207608,5.24,java

19时59分58秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,207608,5.24,java

19时59分59秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,207608,5.24,java

20时00分00秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,15.00,4.00,2774584,207736,5.24,java

20时00分01秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,207736,5.24,java

20时00分02秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,13.00,2.00,2774584,207864,5.25,java

20时00分03秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,12.00,3.00,2774584,207864,5.25,java

20时00分04秒,1000,3590,0.00,1.00,0.00,0.00,0.50,0,10.00,3.00,2774584,207864,5.25,java

20时00分05秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,12.00,2.00,2774584,207992,5.25,java

20时00分06秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,10.00,5.00,2774584,207992,5.25,java

20时00分07秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,10.00,2.00,2774584,208120,5.25,java

20时00分08秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,10.00,2.00,2774584,208120,5.25,java

20时00分09秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,20.00,4.00,2774584,208120,5.25,java

20时00分10秒,1000,3590,0.00,1.00,0.00,0.00,0.50,0,13.00,1.00,2774584,208248,5.26,java

20时00分11秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,11.00,2.00,2774584,208248,5.26,java

20时00分12秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,14.00,3.00,2774584,208376,5.26,java

20时00分13秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,2.00,2774584,208376,5.26,java

20时00分14秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,208504,5.26,java

20时00分15秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,19.00,3.00,2774584,208504,5.26,java

20时00分16秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,12.00,1.00,2774584,208504,5.26,java

20时00分17秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,11.00,2.00,2774584,208504,5.26,java

20时00分18秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,20.00,4.00,2774584,208632,5.27,java

20时00分19秒,1000,3590,0.00,1.00,0.00,0.00,0.51,0,12.00,1.00,2774584,208632,5.27,java

20时00分20秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,5.00,1.00,2774584,208632,5.27,java

20时00分21秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,1.00,0.00,2774584,208632,5.27,java

20时00分22秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,208632,5.27,java

20时00分23秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208632,5.27,java

20时00分24秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,3.00,0.00,2774584,208632,5.27,java

20时00分25秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208632,5.27,java

20时00分26秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208632,5.27,java

20时00分27秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,1.00,2774584,208632,5.27,java

20时00分28秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,1.00,2774584,208760,5.27,java

20时00分29秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分30秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,208760,5.27,java

20时00分31秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分32秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分33秒,1000,3590,1.00,1.00,0.00,0.00,1.01,0,2.00,0.00,2774584,208760,5.27,java

20时00分34秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,1.00,2774584,208760,5.27,java

20时00分35秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分36秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,11.00,1.00,2774584,208760,5.27,java

20时00分37秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.97,0.00,2774584,208760,5.27,java

20时00分38秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分39秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,1.00,2774584,208760,5.27,java

20时00分40秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分41秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,208760,5.27,java

20时00分42秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,46.00,7.00,2774584,209016,5.28,java

20时00分43秒,1000,3590,0.00,1.00,0.00,0.00,0.51,0,0.00,0.00,2774584,209016,5.28,java

20时00分44秒,1000,3590,1.00,0.00,0.00,0.00,0.51,0,2.00,0.00,2774584,209016,5.28,java

20时00分45秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,209016,5.28,java

20时00分46秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209016,5.28,java

20时00分47秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209016,5.28,java

20时00分48秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,28.00,5.00,2774584,209144,5.28,java

20时00分49秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209144,5.28,java

20时00分50秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209144,5.28,java

20时00分51秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,1.00,2774584,209144,5.28,java

20时00分52秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,1.00,2774584,209144,5.28,java

20时00分53秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209144,5.28,java

20时00分54秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,6.00,1.00,2774584,209144,5.28,java

20时00分55秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209144,5.28,java

20时00分56秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209144,5.28,java

